NCT ID,ICD-10 Codes
NCT00027560,"['A04.71', 'A19.1', 'A68.0', 'A81.81', 'A87.2', 'C81.00', 'C81.49', 'C82.00', 'C83.50', 'C88.0', 'C90.10', 'C94.6', 'D46.0', 'D46.1', 'D47.1', 'E71.520', 'H11.411', 'H16.041']"
NCT00027846,"['A06.6', 'A81.81', 'D33.0', 'D33.1', 'E71.520']"
NCT00029107,"['A51.45', 'D89.1', 'H35.061']"
NCT00029146,"['D60.1', 'D73.5', 'G46.3', 'I60.6']"
NCT00029536,"['E22.2', 'G40.001']"
NCT00030264,"['E08.00', 'Q85.00']"
NCT00030992,"['A18.11', 'C22.0']"
NCT00031447,['B00.82']
NCT00031460,"['A81.81', 'B00.82']"
NCT00031486,['A39.81']
NCT00031694,"['C25.0', 'C25.3']"
NCT00032487,"['E08.00', 'O24.414', 'O24.419']"
NCT00032630,['G45.0']
NCT00033293,"['A02.20', 'A71.0', 'G90.50']"
NCT00033540,['C24.0']
NCT00033631,['A18.14']
NCT00033657,"['C15.3', 'C16.0', 'I85.00', 'I86.4']"
NCT00033917,"['I45.4', 'I85.00', 'P61.2', 'R04.81']"
NCT00035555,"['A18.11', 'A98.5', 'T86.00', 'T86.01']"
NCT00035932,['A02.0']
NCT00036569,"['A06.6', 'D51.0', 'R90.0', 'S06.380', 'Z68.51']"
NCT00036738,"['A04.71', 'A06.1', 'C83.50', 'C86.4', 'C90.10']"
NCT00037830,['A18.17']
NCT00038103,['C96.0']
NCT00038467,['C96.0']
NCT00038727,"['A18.17', 'D70.1', 'E08.00', 'E66.01', 'H35.09', 'R73.03', 'Z72.0']"
NCT00039871,"['A51.45', 'E84.0', 'K70.30']"
NCT00040365,"['A18.14', 'B38.81', 'J70.0', 'K50.011']"
NCT00040443,"['A06.6', 'G30.9', 'I69.011', 'M10.30']"
NCT00040742,"['R11.0', 'R11.14']"
NCT00040846,"['A04.71', 'A06.7', 'A18.2', 'A68.0', 'A81.2', 'A87.2', 'C81.00', 'C81.49', 'C82.00', 'C83.50', 'C84.00', 'C84.60', 'C86.1', 'C86.5', 'C88.0', 'C90.10', 'C94.6', 'D46.0', 'D47.1', 'E71.520', 'H11.411', 'H16.041', 'L89.40', 'M31.30']"
NCT00040937,"['A19.1', 'C90.02']"
NCT00041132,"['C81.00', 'L89.40']"
NCT00041392,"['A07.0', 'A50.54', 'A66.7', 'I21.01']"
