subdir,checkpoint,roc_auc_mean,roc_auc_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,accuracy_mean,accuracy_std
mse_hint,hint_0.74_0.02_student_3.ckpt,0.6652976188033592,0.00916691467114968,0.7156555610236323,0.007359873769539277,0.7593827303885161,0.01074471173418728,0.7010441515091548,0.009638798263383042,0.6394504106127605,0.007168956440327569
mse_hint,hint_0.74_0.02_teacher_3.ckpt,0.6734433862650976,0.006567854006815092,0.7068507475568899,0.006041275506690735,0.7665167452642091,0.00916334649981234,0.7213108400336008,0.009917126692707723,0.6431617182564751,0.005483422471680426
mse_hint,hint_0.76_0.02_student_4.ckpt,0.6667306617756196,0.009686167952376772,0.7194734538580405,0.007437822992392466,0.7599013699686982,0.010949923523287858,0.7069992375381859,0.009849207487116927,0.6454358812381553,0.007872658563013338
mse_hint,hint_0.76_0.02_teacher_4.ckpt,0.675431729688382,0.007484570398864064,0.7237308108411322,0.00571507876807018,0.766993390889929,0.009927423676908149,0.7057122434600338,0.008505362775672732,0.6479943145925458,0.004934308185651617
mse_hint,hint_0.78_0.02_student_5.ckpt,0.6680087840254229,0.011072732664165157,0.6909981489792312,0.009125177617691991,0.7583389096520259,0.010995632109500029,0.7385669781074596,0.011534059814556111,0.6395609602021478,0.00899955361817891
mse_hint,hint_0.78_0.02_teacher_5.ckpt,0.6734236890780487,0.008706525100687479,0.6992535401100892,0.006103415953707467,0.7619815691021692,0.01071039227623179,0.73569692476316,0.009703920640439212,0.6441882501579281,0.006286644749559248
mse_hint,hint_0.7_0.02_student_1.ckpt,0.6423232497190017,0.007989714174839926,0.6979108194877277,0.006809609627627868,0.745069234775894,0.009126818920098137,0.6989958371161674,0.010334427164349692,0.6254895767530008,0.006219315529970807
mse_hint,hint_0.7_0.02_student_10.ckpt,0.67002154252031,0.01141822807272494,0.698812838418412,0.009191516092365596,0.757394464021778,0.01193724131591058,0.7418057921403733,0.010489106674301885,0.6465571699305117,0.008598014901336833
mse_hint,hint_0.7_0.02_teacher_1.ckpt,0.6556440996482299,0.006802323015009894,0.7191926358705458,0.004969057627838243,0.7440024765670453,0.008740598996874616,0.6998310103237334,0.008964999419664766,0.6413929248262792,0.005120642913779664
mse_hint,hint_0.7_0.02_teacher_10.ckpt,0.6732154411557371,0.008567264265757579,0.6972409633259065,0.006808491010533107,0.7568296419503491,0.012415555266239733,0.7435341053420041,0.009966808124974856,0.6461149715729626,0.006494969583134381
mse_hint,hint_0.7_0.0_student_1.ckpt,0.6456893867257119,0.009293056832886294,0.7065987563472926,0.00707334312892742,0.7453559937844738,0.010873262139438487,0.7076112831077498,0.010628390493934827,0.6361970941250791,0.007608523849958089
mse_hint,hint_0.7_0.0_student_10.ckpt,0.6696596937321596,0.009312320515565404,0.685723656072379,0.009018940280890786,0.7572069540933289,0.011904239122569613,0.7478601919567233,0.01048808404993374,0.6397504737839544,0.008317558859806402
mse_hint,hint_0.7_0.0_student_2.ckpt,0.6650268770933649,0.008524168306337086,0.7070458076322164,0.007627134111837094,0.7585796100894143,0.010148841011607969,0.7066610302666214,0.010754204336968533,0.636070751737208,0.007032035033929949
mse_hint,hint_0.7_0.0_student_3.ckpt,0.6702447341609665,0.008966165305197246,0.6957717610255011,0.008503042453981957,0.7604031213711637,0.010173407327199586,0.7301957377373739,0.010778018792432622,0.6392766898294379,0.008405849587718327
mse_hint,hint_0.7_0.0_student_4.ckpt,0.6701633427460402,0.008458927353847422,0.7127462244073082,0.007906435923450484,0.7564159835052399,0.01003621674053757,0.7147537705853012,0.010572992011339469,0.644346178142767,0.007736214814062107
mse_hint,hint_0.7_0.0_student_5.ckpt,0.673861902584348,0.009383236843893316,0.6916412334844466,0.009569056066744384,0.7593461643628808,0.010420400476763758,0.7459658381155923,0.0109496362156483,0.6431617182564751,0.008953207541435101
